country_clean,high_risk_probability,avg_fatal_probability,severe_damage_rate,total_accidents
Sudan,0.9722222222222222,0.11385335169250799,0.9722222222222222,36
Guatemala,0.9714285714285714,0.23778084486474127,0.9142857142857143,35
Mexico,0.9629629629629629,0.21708526131207737,0.9444444444444444,54
Venezuela,0.9615384615384616,0.24503482661316528,0.9615384615384616,52
Argentina,0.9545454545454546,0.12370263890109007,0.9545454545454546,22
Greece,0.9411764705882353,0.16349711240615655,0.8235294117647058,17
Democratic Republic of the Congo,0.9411764705882353,0.2629844880827592,0.8823529411764706,34
Russia,0.9357798165137615,0.30669602160703413,0.9357798165137615,109
Belize,0.9230769230769231,0.10273109290123034,0.9230769230769231,13
Nigeria,0.9230769230769231,0.16677134277087818,0.8461538461538461,13
Brazil,0.9178082191780822,0.17217622387740847,0.9178082191780822,73
Turkey,0.9047619047619048,0.24686399880494067,0.8571428571428571,21
South Sudan,0.9,0.2577481690011647,0.9,40
Kenya,0.8947368421052632,0.22497823266881908,0.8947368421052632,19
Canada,0.8933333333333333,0.07954567095134234,0.8866666666666667,150
Denmark,0.875,0.10465327533184898,0.875,8
Guyana,0.875,0.26289936039802475,0.75,8
Tanzania,0.875,0.44108810601926685,0.875,8
Colombia,0.875,0.2952842602417071,0.875,32
Ethiopia,0.875,0.3072369045738833,0.875,8
South Africa,0.8666666666666667,0.1600552765192201,0.8666666666666667,15
Thailand,0.8666666666666667,0.13621527984167905,0.8666666666666667,15
Austria,0.8571428571428571,0.07067311130628887,0.8571428571428571,7
Iraq,0.8571428571428571,0.3219006664265155,0.8571428571428571,7
Malaysia,0.8571428571428571,0.3072865990670631,0.8571428571428571,7
Papua New Guinea,0.8571428571428571,0.16845507988378342,0.8571428571428571,21
Indonesia,0.85,0.2085515540433189,0.8166666666666667,60
India,0.8461538461538461,0.20904886401798023,0.8461538461538461,39
Libya,0.8461538461538461,0.13149787310949568,0.8461538461538461,13
Uganda,0.8333333333333334,0.18353783222335182,0.8333333333333334,6
Somalia,0.8260869565217391,0.12593404207043915,0.8260869565217391,23
Panama,0.8181818181818182,0.10307857533458806,0.8181818181818182,11
China,0.8076923076923077,0.19367836666144994,0.8076923076923077,26
Switzerland,0.8,0.3267285601863502,0.8,5
Taiwan,0.8,0.17166663858031864,0.8,5
Iran,0.8,0.25308152987631416,0.8,15
Belgium,0.8,0.09827916393745975,0.8,5
Australia,0.7804878048780488,0.17134443318402529,0.7317073170731707,41
Myanmar,0.7777777777777778,0.31128536058134243,0.7777777777777778,9
United Arab Emirates,0.7777777777777778,0.14566139359606323,0.7777777777777778,9
Germany,0.7777777777777778,0.1689895468719664,0.7555555555555555,45
Maldives,0.7692307692307693,0.11335966977080338,0.7692307692307693,13
Italy,0.7647058823529411,0.138989550915975,0.7647058823529411,17
United States,0.7564259485924113,0.11673269309151472,0.7490820073439413,817
Bahamas,0.75,0.08314935375442879,0.75,20
Angola,0.75,0.2092828955795295,0.75,4
Cuba,0.75,0.27192188157185637,0.75,4
Syria,0.75,0.32070244759199956,0.5,4
Senegal,0.75,0.1618525612580778,0.75,4
Finland,0.7142857142857143,0.17707967280947332,0.7142857142857143,7
Chile,0.7142857142857143,0.30454375293113445,0.7142857142857143,7
Norway,0.7142857142857143,0.14331978390134062,0.7142857142857143,7
Israel,0.7142857142857143,0.10836436642646266,0.7142857142857143,7
Philippines,0.7058823529411765,0.34524534004561336,0.6470588235294118,17
Pakistan,0.7,0.17091498683147216,0.7,10
South Korea,0.6875,0.07121053091601806,0.6875,16
Ghana,0.6666666666666666,0.051243084182818754,0.6666666666666666,3
Algeria,0.6666666666666666,0.27248362317596947,0.6666666666666666,6
Bangladesh,0.6666666666666666,0.40148172442108293,0.6666666666666666,3
Laos,0.6666666666666666,0.06490864913475881,0.6666666666666666,3
Cyprus,0.6666666666666666,0.076899210760432,0.6666666666666666,3
Mozambique,0.6666666666666666,0.0905159980780663,0.6666666666666666,3
Saudi Arabia,0.6666666666666666,0.07085992864253998,0.6666666666666666,6
France,0.65625,0.07365246397787939,0.65625,32
Unknown,0.5813953488372093,0.22470844605571402,0.5581395348837209,43
Morocco,0.5714285714285714,0.10706026808449995,0.5714285714285714,7
Japan,0.54,0.16369300346892235,0.54,50
Botswana,0.5,0.3106748101315869,0.5,2
Hong Kong,0.5,0.11844662352819157,0.5,4
Ireland,0.5,0.06783471019626398,0.5,10
Malta,0.5,0.10616625900022268,0.5,4
Vietnam,0.5,0.2691364417405493,0.5,2
Sweden,0.5,0.0938335659952074,0.5,2
Saint Barthélemy,0.5,0.0790186377485855,0.5,2
United Kingdom,0.4838709677419355,0.06180694507019758,0.4838709677419355,62
Netherlands,0.42857142857142855,0.061256945957626256,0.42857142857142855,14
Spain,0.3548387096774194,0.08081137941681577,0.3548387096774194,31
Jamaica,0.3333333333333333,0.1382449555942095,0.3333333333333333,3
French Guiana,0.0,0.04513336803015814,0.0,1
Mauritius,0.0,0.06229449650130589,0.0,1
Mauritania,0.0,0.2111421162731036,0.0,1
Hungary,0.0,0.058248596924794005,0.0,2
Iceland,0.0,0.05262636598002695,0.0,1
Seychelles,0.0,0.03973335629360136,0.0,1
Saint Lucia,0.0,0.08086758945780143,0.0,1
Nicaragua,0.0,0.04149697706605445,0.0,1
Turks and Caicos Islands,0.0,0.07356337367682235,0.0,1
